Três de Maio,"0,38"
Três Passos,"0,35"
Triunfo,"0,39"
Tupanciretã,"0,36"
Tupandi,"0,25"
Tuparendi,"0,34"
Uruguaiana,"0,41"
Vacaria,"0,34"
Vale do Sol,"0,42"
Vale Real,"0,30"
Venâncio Aires,"0,33"
Vera Cruz,"0,37"
Veranópolis,"0,30"
Viamão,"0,40"
Xangri-lá,"0,42"
